status,card_present_flag,txn_description,first_name,balance,gender,age,merchant_state,amount,customer_id,longitude,latitude,month,day,day_name,month_name
authorized,0.0,POS,Emily,30583.15,F,43,VIC,12.08,CUS-3255104878,145.35,-38.03,8,1,Wednesday,August
authorized,1.0,POS,Joseph,793.64,M,21,NSW,72.12,CUS-537508723,147.08,-37.97,8,1,Wednesday,August
posted,,INTER BANK,Christine,4474.38,F,39,,25.0,CUS-2376382098,151.04,-33.8,8,1,Wednesday,August
posted,,PAYMENT,Ryan,586.2,M,31,,36.0,CUS-3129499595,150.92,-33.77,8,1,Wednesday,August
authorized,1.0,SALES-POS,Michelle,1636.91,F,19,NSW,17.96,CUS-883482547,150.82,-34.01,8,1,Wednesday,August
authorized,1.0,SALES-POS,Richard,11525.54,M,24,QLD,14.49,CUS-51506836,152.99,-27.49,8,1,Wednesday,August
authorized,0.0,SALES-POS,Michelle,1625.34,F,19,NSW,11.57,CUS-883482547,150.82,-34.01,8,1,Wednesday,August
authorized,1.0,POS,Rhonda,2072.1,F,40,QLD,45.12,CUS-1614226872,153.1,-27.66,8,1,Wednesday,August
authorized,0.0,POS,Jessica,12529.59,F,34,SA,33.89,CUS-1196156254,138.52,-35.01,8,1,Wednesday,August
authorized,1.0,SALES-POS,Kimberly,698.61,F,24,VIC,9.67,CUS-3378712515,145.45,-37.74,8,1,Wednesday,August
authorized,1.0,POS,Ronald,2086.31,M,25,QLD,4.38,CUS-2178051368,145.73,-17.03,8,1,Wednesday,August
authorized,1.0,POS,Kaitlyn,1689.89,F,21,NSW,28.49,CUS-809013380,114.62,-28.8,8,1,Wednesday,August
authorized,1.0,POS,Kaitlyn,1675.46,F,21,WA,14.43,CUS-809013380,114.62,-28.8,8,1,Wednesday,August
authorized,1.0,SALES-POS,Richard,11438.51,M,24,QLD,87.03,CUS-51506836,152.99,-27.49,8,1,Wednesday,August
authorized,1.0,POS,Lori,38.42,F,18,QLD,36.28,CUS-3702001629,153.09,-27.48,8,1,Wednesday,August
authorized,0.0,POS,Virginia,1089.59,F,20,WA,15.91,CUS-127297539,115.79,-31.79,8,1,Wednesday,August
authorized,1.0,POS,Andrew,49756.21,M,78,VIC,25.7,CUS-1646183815,145.09,-37.82,8,1,Wednesday,August
posted,,PAYMENT,Rhonda,2040.1,F,40,,32.0,CUS-1614226872,153.1,-27.66,8,1,Wednesday,August
posted,,INTER BANK,Susan,137.14,F,20,,39.0,CUS-164374203,150.68,-33.79,8,1,Wednesday,August
posted,,PAYMENT,Richard,292.77,M,22,,34.0,CUS-2283904812,145.03,-37.88,8,1,Wednesday,August
posted,,PAYMENT,Luis,28.04,M,27,,29.0,CUS-3180318393,144.71,-37.58,8,1,Wednesday,August
posted,,PAYMENT,Gregory,754.2,M,42,,150.0,CUS-3904958894,150.9,-33.78,8,1,Wednesday,August
posted,,PAYMENT,Joseph,763.64,M,21,,30.0,CUS-537508723,147.08,-37.97,8,1,Wednesday,August
authorized,1.0,SALES-POS,Barry,301.65,M,38,NSW,20.43,CUS-1604596597,138.67,-34.86,8,1,Wednesday,August
authorized,0.0,SALES-POS,Daniel,1290.08,M,22,NSW,31.62,CUS-1617121891,255.0,-573.0,8,1,Wednesday,August
authorized,1.0,SALES-POS,Renee,18784.07,F,38,VIC,16.13,CUS-2206365095,144.89,-37.81,8,1,Wednesday,August
posted,,PAYMENT,Daniel,1195.08,M,22,,95.0,CUS-1617121891,255.0,-573.0,8,1,Wednesday,August
authorized,1.0,POS,Michael,454.94,M,40,WA,11.64,CUS-2031327464,151.23,-33.96,8,1,Wednesday,August
authorized,1.0,POS,Amy,27.86,F,43,VIC,28.0,CUS-2599279756,142.77,-37.06,8,1,Wednesday,August
authorized,1.0,POS,Gregory,689.22,M,42,NSW,64.98,CUS-3904958894,150.9,-33.78,8,1,Wednesday,August
authorized,1.0,SALES-POS,Michael,440.66,M,40,NSW,14.28,CUS-2031327464,151.23,-33.96,8,1,Wednesday,August
authorized,1.0,POS,Christopher,58154.74,M,33,VIC,17.97,CUS-3117610635,145.13,-37.7,8,1,Wednesday,August
authorized,0.0,POS,Kimberly,589.1,F,24,NSW,109.51,CUS-3378712515,145.45,-37.74,8,1,Wednesday,August
authorized,0.0,POS,Ronald,2058.92,M,25,VIC,27.39,CUS-2178051368,145.73,-17.03,8,1,Wednesday,August
authorized,1.0,POS,Jeffrey,1109.58,M,24,VIC,27.39,CUS-1433879684,145.0,-37.83,8,1,Wednesday,August
posted,,PAYMENT,Karen,3071.94,F,26,,46.0,CUS-2630892467,149.03,-34.97,8,1,Wednesday,August
posted,,INTER BANK,Tonya,150.08,F,27,,57.0,CUS-3026014945,116.06,-32.0,8,1,Wednesday,August
authorized,1.0,POS,Edward,4172.16,M,19,SA,3.28,CUS-443776336,115.98,-32.07,8,1,Wednesday,August
authorized,1.0,POS,Craig,30163.44,M,28,NSW,33.45,CUS-2663907001,151.12,-33.89,8,1,Wednesday,August
posted,,INTER BANK,Ronald,2032.92,M,25,,26.0,CUS-2178051368,145.73,-17.03,8,1,Wednesday,August
authorized,0.0,POS,Emily,29128.11,F,43,VIC,15.64,CUS-3255104878,145.35,-38.03,8,1,Wednesday,August
authorized,1.0,POS,Susan,119.88,F,20,NSW,17.26,CUS-164374203,150.68,-33.79,8,1,Wednesday,August
authorized,0.0,SALES-POS,Kimberly,538.85,F,24,VIC,50.25,CUS-3378712515,145.45,-37.74,8,1,Wednesday,August
authorized,1.0,POS,Sandra,486.68,F,34,NT,22.25,CUS-4142663097,130.9,-12.37,8,1,Wednesday,August
authorized,1.0,SALES-POS,Rhonda,2029.05,F,40,NSW,11.05,CUS-1614226872,153.1,-27.66,8,1,Wednesday,August
authorized,1.0,POS,Michelle,1609.16,F,19,NSW,16.18,CUS-883482547,150.82,-34.01,8,1,Wednesday,August
authorized,0.0,SALES-POS,Michael,429.2,M,40,NSW,11.46,CUS-2031327464,151.23,-33.96,8,1,Wednesday,August
posted,,PAYMENT,Debra,86.91,F,18,,36.0,CUS-1842679196,138.61,-34.89,8,1,Wednesday,August
posted,,PAYMENT,Ryan,28453.87,M,38,,35.0,CUS-3249305314,151.27,-33.9,8,1,Wednesday,August
authorized,0.0,POS,Michele,86.3,F,30,VIC,5.29,CUS-1271030853,145.04,-37.85,8,1,Wednesday,August
authorized,1.0,SALES-POS,Michelle,1602.58,F,19,NSW,6.58,CUS-883482547,150.82,-34.01,8,1,Wednesday,August
authorized,1.0,SALES-POS,Antonio,713.56,M,26,WA,16.03,CUS-1646621553,115.78,-31.9,8,1,Wednesday,August
authorized,1.0,POS,Jessica,143.4,F,21,NT,32.41,CUS-325142416,130.84,-12.45,8,1,Wednesday,August
authorized,1.0,SALES-POS,Joseph,750.75,M,21,VIC,12.89,CUS-537508723,147.08,-37.97,8,1,Wednesday,August
authorized,1.0,POS,Antonio,697.46,M,26,NSW,16.1,CUS-1646621553,115.78,-31.9,8,1,Wednesday,August
authorized,1.0,SALES-POS,Michael,39595.08,M,22,VIC,39.92,CUS-3462882033,145.03,-37.91,8,1,Wednesday,August
authorized,1.0,POS,Tyler,1082.64,M,44,VIC,8.1,CUS-1892177589,144.79,-37.73,8,1,Wednesday,August
posted,,PAYMENT,Lucas,2335.35,M,21,,55.0,CUS-1117979751,115.81,-31.82,8,1,Wednesday,August
posted,,PAYMENT,Susan,8.06,F,20,,35.0,CUS-164374203,150.68,-33.79,8,1,Wednesday,August
authorized,1.0,POS,Robert,1691.91,M,20,NSW,13.52,CUS-2688605418,151.22,-33.87,8,1,Wednesday,August
authorized,0.0,POS,Susan,43.06,F,20,NSW,76.82,CUS-164374203,150.68,-33.79,8,1,Wednesday,August
posted,,PAYMENT,Daniel,1162.08,M,22,,33.0,CUS-1617121891,255.0,-573.0,8,1,Wednesday,August
posted,,PAYMENT,Karen,3021.94,F,26,,50.0,CUS-2630892467,149.03,-34.97,8,1,Wednesday,August
posted,,PAYMENT,Sandra,300.09,F,34,,168.0,CUS-4142663097,130.9,-12.37,8,1,Wednesday,August
authorized,0.0,POS,James,6941.78,M,28,NSW,22.59,CUS-4023861240,147.63,-22.84,8,1,Wednesday,August
authorized,1.0,SALES-POS,Tyler,1067.36,M,44,VIC,15.28,CUS-1892177589,144.79,-37.73,8,1,Wednesday,August
authorized,1.0,SALES-POS,Mackenzie,189.55,F,18,SA,5.62,CUS-586638664,150.79,-33.64,8,1,Wednesday,August
authorized,1.0,SALES-POS,Ryan,492.41,M,31,NSW,93.79,CUS-3129499595,150.92,-33.77,8,1,Wednesday,August
authorized,1.0,SALES-POS,Marissa,2025.72,F,23,VIC,14.86,CUS-2500783281,145.01,-37.93,8,1,Wednesday,August
authorized,1.0,SALES-POS,Sandra,468.09,F,34,NT,18.59,CUS-4142663097,130.9,-12.37,8,1,Wednesday,August
posted,,PAYMENT,Linda,860.46,F,24,,46.0,CUS-423725039,116.0,-31.88,8,1,Wednesday,August
authorized,1.0,POS,Diana,1006.85,F,26,QLD,10.67,CUS-2487424745,153.41,-27.95,8,1,Wednesday,August
authorized,0.0,SALES-POS,Christopher,6022.68,M,35,SA,19.58,CUS-1896554896,151.68,-32.98,8,1,Wednesday,August
posted,,PAYMENT,Matthew,7046.77,M,39,,48.0,CUS-1790886359,145.17,-37.84,8,1,Wednesday,August
authorized,1.0,SALES-POS,Michael,27984.9,M,21,NSW,26.75,CUS-2059096722,146.92,-36.07,8,1,Wednesday,August
authorized,1.0,POS,Dustin,823.53,M,28,VIC,9.21,CUS-1140341822,144.97,-37.42,8,1,Wednesday,August
authorized,1.0,POS,Jessica,16421.78,F,34,NSW,11.54,CUS-1196156254,138.52,-35.01,8,1,Wednesday,August
authorized,0.0,SALES-POS,Diana,995.57,F,26,QLD,11.28,CUS-2487424745,153.41,-27.95,8,1,Wednesday,August
authorized,1.0,SALES-POS,Michael,27953.53,M,21,QLD,31.37,CUS-2059096722,146.92,-36.07,8,1,Wednesday,August
authorized,1.0,POS,Richard,445.04,M,37,QLD,23.86,CUS-3201519139,149.19,-21.15,8,1,Wednesday,August
posted,,PAYMENT,Fernando,4331.5,M,19,,17.0,CUS-2317998716,146.94,-36.04,8,1,Wednesday,August
posted,,PAYMENT,Marissa,1992.72,F,23,,33.0,CUS-2500783281,145.01,-37.93,8,1,Wednesday,August
posted,,INTER BANK,Tonya,117.08,F,27,,33.0,CUS-3026014945,116.06,-32.0,8,1,Wednesday,August
posted,,PHONE BANK,Eric,35322.36,M,42,,36.0,CUS-3151318058,144.98,-37.84,8,1,Wednesday,August
authorized,1.0,SALES-POS,Rhonda,1963.94,F,40,QLD,65.11,CUS-1614226872,153.1,-27.66,8,1,Wednesday,August
authorized,0.0,SALES-POS,James,6924.65,M,28,TAS,17.13,CUS-4023861240,147.63,-22.84,8,1,Wednesday,August
posted,,INTER BANK,Heather,1679.94,F,41,,43.0,CUS-2348881191,144.93,-37.79,8,1,Wednesday,August
authorized,1.0,SALES-POS,Kimberly,34.97,F,27,VIC,7.29,CUS-1739931018,147.61,-37.82,8,1,Wednesday,August
authorized,1.0,POS,Derek,614.93,M,20,VIC,27.82,CUS-3325710106,145.04,-37.92,8,1,Wednesday,August
authorized,0.0,POS,Diana,986.58,F,26,QLD,8.99,CUS-2487424745,153.41,-27.95,8,1,Wednesday,August
authorized,0.0,POS,Barry,279.86,M,38,NSW,21.79,CUS-1604596597,138.67,-34.86,8,1,Wednesday,August
posted,,PAYMENT,Michelle,1569.58,F,19,,33.0,CUS-883482547,150.82,-34.01,8,1,Wednesday,August
authorized,1.0,POS,Diana,976.26,F,26,QLD,10.32,CUS-2487424745,153.41,-27.95,8,1,Wednesday,August
authorized,1.0,POS,Scott,94.45,M,23,NSW,19.04,CUS-511326734,150.9,-34.37,8,1,Wednesday,August
posted,,PAYMENT,Michael,1884.41,M,44,,157.0,CUS-1233833708,145.18,-37.9,8,1,Wednesday,August
posted,,PAYMENT,Antonio,1767.37,M,26,,29.0,CUS-1646621553,115.78,-31.9,8,1,Wednesday,August
posted,,PAYMENT,Matthew,7014.77,M,39,,32.0,CUS-1790886359,145.17,-37.84,8,1,Wednesday,August
authorized,1.0,SALES-POS,Michael,27923.06,M,21,VIC,30.47,CUS-2059096722,146.92,-36.07,8,2,Thursday,August
authorized,0.0,SALES-POS,Virginia,1074.43,F,20,WA,15.16,CUS-127297539,115.79,-31.79,8,2,Thursday,August
authorized,1.0,POS,Ricky,163.59,M,43,VIC,10.07,CUS-3142625864,145.16,-37.84,8,2,Thursday,August
authorized,1.0,SALES-POS,Isaiah,8306.12,M,23,NSW,35.99,CUS-1462656821,151.27,-33.76,8,2,Thursday,August
posted,,INTER BANK,Ricky,147.59,M,43,,16.0,CUS-3142625864,145.16,-37.84,8,2,Thursday,August
authorized,1.0,SALES-POS,Charles,128.21,M,18,QLD,32.06,CUS-3336454548,153.41,-28.01,8,2,Thursday,August
authorized,1.0,SALES-POS,Christopher,58111.04,M,33,VIC,43.7,CUS-3117610635,145.13,-37.7,8,2,Thursday,August
posted,,PAYMENT,Tim,54980.99,M,40,,47.0,CUS-1816693151,115.83,-31.9,8,2,Thursday,August
posted,,PAYMENT,Joseph,223.93,M,37,,52.0,CUS-2695611575,153.32,-27.93,8,2,Thursday,August
authorized,1.0,SALES-POS,Melissa,128.76,F,30,VIC,36.07,CUS-55310383,149.83,-29.47,8,2,Thursday,August
posted,,PAYMENT,Darren,6630.82,M,20,,39.0,CUS-2110742437,138.56,-35.27,8,2,Thursday,August
posted,,PAYMENT,Heather,1657.94,F,41,,22.0,CUS-2348881191,144.93,-37.79,8,2,Thursday,August
authorized,1.0,SALES-POS,Virginia,1066.35,F,20,WA,8.08,CUS-127297539,115.79,-31.79,8,2,Thursday,August
authorized,1.0,SALES-POS,Lori,15.93,F,18,VIC,22.49,CUS-3702001629,153.09,-27.48,8,2,Thursday,August
posted,,PAYMENT,Fernando,4298.5,M,19,,33.0,CUS-2317998716,146.94,-36.04,8,2,Thursday,August
posted,,PAYMENT,Joseph,205.93,M,37,,18.0,CUS-2695611575,153.32,-27.93,8,2,Thursday,August
posted,,PAYMENT,Tiffany,213.37,F,25,,46.0,CUS-1669695324,115.74,-31.72,8,2,Thursday,August
posted,,PAYMENT,Jacqueline,3117.58,F,30,,47.0,CUS-497688347,138.63,-34.93,8,2,Thursday,August
authorized,1.0,POS,Eric,35305.32,M,42,VIC,17.04,CUS-3151318058,144.98,-37.84,8,2,Thursday,August
posted,,PAYMENT,Linda,1580.32,F,35,,33.0,CUS-2155701614,144.96,-37.84,8,2,Thursday,August
posted,,INTER BANK,Cindy,1146.46,F,19,,22.0,CUS-3174332735,144.66,-37.91,8,2,Thursday,August
posted,,INTER BANK,Kristin,2074.79,F,43,,197.0,CUS-4123612273,144.95,-37.76,8,2,Thursday,August
authorized,1.0,POS,Rhonda,1917.11,F,40,QLD,46.83,CUS-1614226872,153.1,-27.66,8,2,Thursday,August
posted,,PAYMENT,Kristin,2031.79,F,43,,43.0,CUS-4123612273,144.95,-37.76,8,2,Thursday,August
posted,,PAYMENT,Mackenzie,38.55,F,18,,151.0,CUS-586638664,150.79,-33.64,8,2,Thursday,August
authorized,1.0,POS,Stephanie,463.96,F,53,QLD,6.48,CUS-1005756958,153.03,-27.51,8,2,Thursday,August
authorized,0.0,POS,Ruth,17.44,F,47,WA,20.87,CUS-3716701010,115.72,-32.28,8,2,Thursday,August
authorized,1.0,SALES-POS,Lucas,2293.86,M,21,SA,41.49,CUS-1117979751,115.81,-31.82,8,2,Thursday,August
authorized,1.0,SALES-POS,Diana,968.15,F,26,QLD,8.11,CUS-2487424745,153.41,-27.95,8,2,Thursday,August
authorized,1.0,POS,Linda,847.49,F,24,WA,12.97,CUS-423725039,116.0,-31.88,8,2,Thursday,August
authorized,1.0,SALES-POS,Christine,4428.26,F,39,VIC,46.12,CUS-2376382098,151.04,-33.8,8,2,Thursday,August
posted,,PAYMENT,Jessica,16394.78,F,34,,27.0,CUS-1196156254,138.52,-35.01,8,2,Thursday,August
posted,,INTER BANK,Jessica,104.4,F,21,,39.0,CUS-325142416,130.84,-12.45,8,2,Thursday,August
authorized,0.0,POS,Susan,842.07,F,19,VIC,25.7,CUS-1928710999,145.15,-37.76,8,2,Thursday,August
authorized,1.0,SALES-POS,Karen,2986.34,F,26,SA,35.6,CUS-2630892467,149.03,-34.97,8,2,Thursday,August
authorized,1.0,POS,Rhonda,1872.72,F,40,WA,44.39,CUS-1614226872,153.1,-27.66,8,2,Thursday,August
authorized,1.0,POS,Rhonda,1845.04,F,40,QLD,27.68,CUS-1614226872,153.1,-27.66,8,2,Thursday,August
authorized,1.0,POS,Rhonda,1826.34,F,40,NSW,18.7,CUS-1614226872,153.1,-27.66,8,2,Thursday,August
authorized,1.0,SALES-POS,Rhonda,1816.34,F,40,QLD,10.0,CUS-1614226872,153.1,-27.66,8,2,Thursday,August
authorized,1.0,SALES-POS,Michael,50657.65,M,19,WA,13.49,CUS-1609060617,115.9,-31.92,8,2,Thursday,August
authorized,0.0,SALES-POS,Rachael,344.8,F,21,VIC,20.26,CUS-134193016,145.06,-37.95,8,2,Thursday,August
authorized,1.0,POS,Diana,956.92,F,26,QLD,11.23,CUS-2487424745,153.41,-27.95,8,2,Thursday,August
authorized,1.0,POS,Tyler,1035.55,M,44,VIC,31.81,CUS-1892177589,144.79,-37.73,8,2,Thursday,August
authorized,1.0,SALES-POS,Diana,949.22,F,26,QLD,7.7,CUS-2487424745,153.41,-27.95,8,2,Thursday,August
authorized,1.0,SALES-POS,Lucas,2285.02,M,21,WA,8.84,CUS-1117979751,115.81,-31.82,8,2,Thursday,August
authorized,1.0,POS,Andrew,49743.84,M,78,VIC,12.37,CUS-1646183815,145.09,-37.82,8,2,Thursday,August
authorized,1.0,SALES-POS,Mary,159.66,F,64,VIC,31.5,CUS-1654129794,147.31,-42.88,8,2,Thursday,August
authorized,1.0,SALES-POS,Kimberly,521.73,F,24,VIC,17.12,CUS-3378712515,145.45,-37.74,8,2,Thursday,August
posted,,PAYMENT,Jeffrey,2476.66,M,24,,41.0,CUS-1433879684,145.0,-37.83,8,2,Thursday,August
posted,,INTER BANK,Robert,1667.91,M,20,,24.0,CUS-2688605418,151.22,-33.87,8,2,Thursday,August
authorized,1.0,POS,Jessica,16373.36,F,34,SA,21.42,CUS-1196156254,138.52,-35.01,8,2,Thursday,August
authorized,1.0,POS,Diana,941.23,F,26,QLD,7.99,CUS-2487424745,153.41,-27.95,8,2,Thursday,August
authorized,1.0,SALES-POS,Diana,931.76,F,26,NSW,9.47,CUS-2487424745,153.41,-27.95,8,2,Thursday,August
authorized,1.0,POS,Charles,107.79,M,18,QLD,20.42,CUS-3336454548,153.41,-28.01,8,2,Thursday,August
authorized,1.0,POS,Jessica,96.25,F,21,NT,8.15,CUS-325142416,130.84,-12.45,8,2,Thursday,August
authorized,1.0,POS,Antonio,1742.72,M,26,WA,24.65,CUS-1646621553,115.78,-31.9,8,2,Thursday,August
authorized,0.0,POS,Jacqueline,3047.08,F,30,NSW,70.5,CUS-497688347,138.63,-34.93,8,2,Thursday,August
authorized,1.0,SALES-POS,Amy,4.41,F,43,NSW,23.45,CUS-2599279756,142.77,-37.06,8,2,Thursday,August
authorized,1.0,POS,Eric,35254.08,M,42,VIC,51.24,CUS-3151318058,144.98,-37.84,8,2,Thursday,August
posted,,PAYMENT,Joseph,715.75,M,21,,35.0,CUS-537508723,147.08,-37.97,8,2,Thursday,August
authorized,1.0,POS,Jacqueline,3008.22,F,30,SA,38.86,CUS-497688347,138.63,-34.93,8,2,Thursday,August
authorized,1.0,SALES-POS,Maria,1903.7,F,35,NSW,32.97,CUS-2650223890,138.69,-34.84,8,2,Thursday,August
authorized,0.0,POS,Michael,27898.89,M,21,VIC,24.17,CUS-2059096722,146.92,-36.07,8,2,Thursday,August
posted,,INTER BANK,Isaiah,8189.12,M,23,,117.0,CUS-1462656821,151.27,-33.76,8,2,Thursday,August
posted,,PAYMENT,Timothy,2666.12,M,20,,15.0,CUS-2484453271,145.23,-37.86,8,2,Thursday,August
authorized,1.0,SALES-POS,Edward,4158.41,M,19,WA,13.75,CUS-443776336,115.98,-32.07,8,2,Thursday,August
authorized,1.0,SALES-POS,Scott,86.96,M,23,NSW,7.49,CUS-511326734,150.9,-34.37,8,2,Thursday,August
authorized,1.0,SALES-POS,Charles,92.48,M,18,QLD,15.31,CUS-3336454548,153.41,-28.01,8,2,Thursday,August
authorized,0.0,POS,Eric,3130.0,M,22,NSW,28.51,CUS-326006476,151.18,-33.8,8,2,Thursday,August
posted,,PAYMENT,Matthew,6954.77,M,39,,60.0,CUS-1790886359,145.17,-37.84,8,2,Thursday,August
authorized,1.0,POS,Antonio,1712.39,M,26,WA,30.33,CUS-1646621553,115.78,-31.9,8,2,Thursday,August
authorized,1.0,SALES-POS,Nathaniel,14.26,M,31,NSW,20.07,CUS-2083971310,151.11,-33.99,8,2,Thursday,August
authorized,0.0,POS,Tyler,1948.27,M,69,VIC,20.78,CUS-1388323263,144.96,-37.76,8,2,Thursday,August
authorized,1.0,POS,Craig,30130.77,M,28,NSW,32.67,CUS-2663907001,151.12,-33.89,8,2,Thursday,August
authorized,1.0,POS,Tonya,66.15,F,27,QLD,50.93,CUS-3026014945,116.06,-32.0,8,2,Thursday,August
authorized,1.0,SALES-POS,Susan,823.87,F,19,VIC,18.2,CUS-1928710999,145.15,-37.76,8,2,Thursday,August
authorized,1.0,POS,Eric,35238.13,M,42,VIC,15.95,CUS-3151318058,144.98,-37.84,8,2,Thursday,August
authorized,1.0,SALES-POS,Rhonda,1791.0,F,40,QLD,25.34,CUS-1614226872,153.1,-27.66,8,2,Thursday,August
posted,,PAYMENT,Rhonda,1758.0,F,40,,33.0,CUS-1614226872,153.1,-27.66,8,2,Thursday,August
authorized,1.0,SALES-POS,Rachael,332.57,F,21,VIC,12.23,CUS-134193016,145.06,-37.95,8,2,Thursday,August
authorized,1.0,POS,Heather,1550.27,F,41,VIC,107.67,CUS-2348881191,144.93,-37.79,8,2,Thursday,August
authorized,1.0,SALES-POS,Elizabeth,24268.73,F,50,VIC,10.13,CUS-2977593493,144.96,-37.69,8,2,Thursday,August
authorized,0.0,SALES-POS,Jeffrey,1789.31,M,30,QLD,22.16,CUS-860700529,153.05,-27.61,8,2,Thursday,August
authorized,1.0,SALES-POS,Paul,1014.72,M,25,WA,41.66,CUS-3989008654,115.79,-31.94,8,2,Thursday,August
authorized,1.0,SALES-POS,Michele,1236.27,F,30,NSW,8.18,CUS-1271030853,145.04,-37.85,8,2,Thursday,August
authorized,1.0,SALES-POS,Michael,50637.85,M,19,WA,19.8,CUS-1609060617,115.9,-31.92,8,2,Thursday,August
authorized,1.0,SALES-POS,Linda,842.78,F,24,WA,4.71,CUS-423725039,116.0,-31.88,8,2,Thursday,August
authorized,1.0,SALES-POS,Antonio,1663.59,M,26,WA,48.8,CUS-1646621553,115.78,-31.9,8,2,Thursday,August
authorized,1.0,POS,Eric,2866.56,M,22,NSW,263.44,CUS-326006476,151.18,-33.8,8,2,Thursday,August
authorized,1.0,POS,Mackenzie,2.38,F,18,NSW,36.17,CUS-586638664,150.79,-33.64,8,2,Thursday,August
authorized,1.0,POS,Rachael,326.94,F,21,VIC,5.63,CUS-134193016,145.06,-37.95,8,2,Thursday,August
authorized,0.0,POS,Isaiah,8144.24,M,23,SA,44.88,CUS-1462656821,151.27,-33.76,8,2,Thursday,August
posted,,PAYMENT,Isaiah,7963.24,M,23,,181.0,CUS-1462656821,151.27,-33.76,8,2,Thursday,August
posted,,PAYMENT,Tyler,1020.55,M,44,,15.0,CUS-1892177589,144.79,-37.73,8,2,Thursday,August
posted,,PAYMENT,Sandra,263.09,F,34,,37.0,CUS-4142663097,130.9,-12.37,8,2,Thursday,August
authorized,1.0,POS,Gregory,661.06,M,42,NSW,28.16,CUS-3904958894,150.9,-33.78,8,2,Thursday,August
authorized,1.0,SALES-POS,Joseph,200.94,M,37,NSW,4.99,CUS-2695611575,153.32,-27.93,8,2,Thursday,August
authorized,1.0,POS,Gregory,636.59,M,42,NSW,24.47,CUS-3904958894,150.9,-33.78,8,2,Thursday,August
authorized,1.0,SALES-POS,Timothy,2658.88,M,20,VIC,7.24,CUS-2484453271,145.23,-37.86,8,2,Thursday,August
authorized,1.0,SALES-POS,Michael,27884.42,M,21,VIC,14.47,CUS-2059096722,146.92,-36.07,8,2,Thursday,August
posted,,PAYMENT,Isaiah,7922.24,M,23,,41.0,CUS-1462656821,151.27,-33.76,8,2,Thursday,August
posted,,PAYMENT,Barry,230.86,M,38,,49.0,CUS-1604596597,138.67,-34.86,8,2,Thursday,August
posted,,PAYMENT,Kaitlyn,1540.46,F,21,,135.0,CUS-809013380,114.62,-28.8,8,2,Thursday,August
authorized,1.0,SALES-POS,Sarah,13583.79,F,46,NSW,97.95,CUS-1499065773,151.09,-33.91,8,2,Thursday,August
